2024年上海闵行区公办小学、初中招生划片范围公布，招生细则看过来_腾讯新闻

# 2024年上海闵行区公办小学、初中招生划片范围公布，招生细则看过来

家有幼升小、小升初学生的家长看过来！《2024年闵行区义务教育阶段学校招生入学工作的实施意见》发布啦！

家长最关心的“招生划片范围、小学阶段招生、初中阶段招生、民办学校招生”信息，以及各个阶段时间节点都在这里！详见下文。

根据闵行区“十四五”期间区域教育布局调整和常住人口分布的变化，结合义务教育优质均衡发展的创建等要求，按照免试就近入学原则和本区实际情况，确定各校对口招生入学范围，确保符合条件的适龄儿童接受义务教育。

今年，闵行区公办小学、初中招生划片范围如何划分？一起来看看→

1

《2024年闵行区公办小学招生划片范围》

| 序号 | 学校名称 | 学校地址 | 招生划片范围 |
| --- | --- | --- | --- |
| 1 | 上海市闵行区华漕学校 | 申长路2051弄32号 | 华漕村、许浦村、王泥浜村、陶家角村、杨家巷村、新家弄村、光华村、爱博四村(天山西路4358弄）、爱博五村（天山西路4178弄）、爱博六村（申长北路185弄）、爱博七村（博恒路289弄）、金色西郊城（北翟路2000弄）、农科院居委（北翟路2900弄华苑小区）、华漕二居委（北华路168弄万博家园、北沈路288弄万博欣园，华江路1415弄华漕新村、北沈路260弄西郊东苑）、华美路居委（华美东路151弄、220弄，中华美路5弄、60弄，华美中路1—7弄，华美西路10—18号，西华美路1—9号，吴漕路1001号、1003号、1005号、1007号，华美中路18号，华美南路65—67号）、华美路二居委（华美路100弄、108弄，东华美路10弄，华美路151弄，中华美路60弄6—13号，中华美路156弄8—22号，吴漕路1018弄） |
| 2 | 上海市闵行区文来实验学校 | 申滨路615号 | 爱博家园一村、二村、三村（含原华漕镇各村动迁安置在内的），涞港星苑（华涞路255弄）万科时一区（暂时安置）虹桥富力悦都（暂时安置）恒基旭辉中心（暂时安置）尚品华庭(申贵路1557弄)（暂时安置） |
| 3 | 闵行区虹桥中心小学 | 万源路2323号 | 海申花园、海叶公寓、海联花苑、伊犁苑、振宏公寓、东方明珠小区、虹桥明珠公寓、浩润苑、振宏苑、古北虹苑、恒盛苑、臻园小区、大成公寓、张家宅小区、锦华公寓、怡德苑、古北首席、湘府花园、吴中路405弄、古北新城、金虹大厦、明申花园、天鸿公寓、旅专小区、名都城、名都古北花园、君怡公寓、吴中路730弄、830弄、870弄、907号、909号、918号、920号、940弄、970弄、1001弄、环镇西路6弄、39弄、41弄、环镇南路87-93号、苹果园、红春一公寓、红春二公寓、汇秀苑、金泉苑、华光公寓、虹田苑、华光花园、虹桥花苑、虹梅别墅、高尔夫小区、虹中别墅、嘉年别墅、富宏花园、豪嘉府邸、奥玎宫廷别墅、虹梅路3201弄、3081弄、2998弄、2986弄、2981弄、2964弄、2899弄、2838弄、2806弄、2759弄、2669弄、2309弄、虹中路2弄、虹兴苑、上虹新村、万源新城、锦绣江南、虹华苑（又称流晶逸彩，虹中路460弄）、华虹一公寓、奥森花园、虹鹿花苑、奥森公寓、延虹公寓、风度国际、井亭苑、明泉璞院、虹二村、虹四村、虹桥村、虹六村、新桥村、井亭村、荣信虹桥世嘉、古北尚郡（红松东路2899弄）、古北尚公馆（虹中路158弄）、新弘金科嘉颐苑（吴中路389弄1—15号）、金鹰华庭、古北中央公园 |
| 4 | 闵行区龙柏第一小学 | 黄桦路110号 | 龙柏一村：含西郊公寓，西郊公寓北片（黄桦路568弄），龙柏公寓（绿苑路21弄），佳信花苑（黄桦路292弄），城市花园（黄桦路85弄），华都公寓（黄桦路422弄），永怡公寓（黄桦路577弄），嘉富丽苑（黄桦路369弄），汇金公寓（红松路333弄）；龙柏二村：含龙柏西郊公寓（红松路700弄）；龙柏三村：含先锋公寓，中康公寓（青杉路26弄），和兴公寓（青杉路244号），新悦公寓（红松路319弄），金铃公寓（黄桦路158弄），龙兴苑（白樟路350弄），四季花园（青杉路150弄）；龙柏四村（红松路521弄，兰竹路17弄，青杉路318弄）；龙柏五村（青杉路5弄）；龙柏六村：含易居公寓（紫藤路266弄），中祥龙柏苑（白樟路99弄），金悦公寓（青杉路115弄），香榭苑（青杉路169弄）；龙柏七村：含七村公寓（青杉路455弄），紫藤居（紫藤路99弄），紫藤里（紫藤路128弄）；虹井小区（虹井路788弄）；井亭头:含龙柏井亭公寓（老虹井路39弄）、紫藤华庭（吴中路1898弄） |
| 5 | 闵行区航华第一小学 | 航东路775弄38号 | 沪青平公路180弄、251弄120支弄、249弄、391弄、101弄、158弄；346弄；338弄；航东路750弄、775弄、528弄；航东路204弄111号-156号（嘉丰花苑）；航东路255弄1-46号（嘉丰新苑）、航东路685弄76支弄（永兴小区）；航东路606弄1-4号；航中路635弄（航华新苑）；航中路288弄1-3号；航华一村一街坊1号—220号；航华一村二街坊270号—368号；航华四村；航北路38弄1-18号（鸿禧花园）；航北路35弄1-23号（华景小区）、航北路123弄1-42号（新明星花园1期）、航北路180弄（新明星花园2期）、航北路228弄2-166号（丹桂北苑）、航北路229弄456-499号（丹桂南苑）；七莘路3885弄（茂盛花苑）、虹光村 |
| 6 | 闵行区航华第二小学 | 航中路355号 | 航华二村、航华三村、航新路、沙申小区 |
| 7 | 闵行区七宝镇明强小学 | 宝南路288号 | 七宝村（除陈家塘3队）、友谊村、三佳花园（新镇路1060弄、富强街3弄）、茂盛花园（新镇路1036弄）、水景书香园（新镇路888弄）、宝仪花园（新镇路876弄）、学院新村（新镇路701弄）、东方花园二期（新镇路603弄）、东方花园三期（荣谊路108弄）、莲浦府邸二期（宝铭路88弄）、皇都花园（顾戴路2000弄）、明泉公寓（漕宝路3158弄）、蒲汇别墅（新镇路1258弄）、蒲汇新村（青年路25弄、77弄、88弄）、京都苑（青年路369弄、七莘路2950弄50支弄），白浪新村（青年路267弄）、塘北居委所属小区（北大街、北东街、北西街、青年路、青南小区、民主路、民主新村、横沥新村、北横沥、北东塘滩、沟水弄等，除吴宝路27弄外）、塘南居委所属小区（王家场、南大街、南街、南街支弄、南西街、南东街、南东塘滩、南西塘滩、竹行弄、浴堂街、富强街、镇企路、南横沥等）、华夏名苑（宝南路508弄）、宝隆新村（七莘路2938弄、富强街78号乙）、农学院家属小区（宝南路531弄）；秀枫翠谷（漕宝路1911弄）、金泰公寓（漕宝路2999弄）；红明村（1、2、3、4队）、九星村（原东风村、范家塘、大小赵家巷、沈长浜、胡家塘、葫芦湾、程家塘、南李、北李）、江南御府（宝南路536弄）、九星家园（宝南路55弄） |
| 8 | 闵行区七宝镇明强小学西校区 | 华茂路108号 | 联明村（1、3、9、10、11队）、联盛花苑196-320号、碧林湾（中谊路888弄）、万泰花园（七莘路2299弄）、绿野香舟（中谊路666弄）、水榭花堤（七莘路2299弄26支弄）；广海花园（七莘路2315弄）、华宝花园（华茂路32弄、18弄、42弄）、保利名苑（华茂路100弄）；东方花园一期（七莘路2288弄）、亿豪名邸（七莘路2358弄）、园艺新村（七莘路2628弄） |
| 9 | 上海市闵行区七宝明强第二小学 | 航南路350号 | 沪星村、大都会和风社区（中春路9966弄）、大千美苑（中春路8988弄）、欧香名邸（沪星路299弄）、优诗美地/魅力之城（中春路8888弄）、郎润园（新龙路1111弄）、佳宝新村（沪松公路62弄）、佳宝四联（沪松公路62弄）、华莘花园（新龙路1058弄）、泰景苑/万泰公寓（七莘路3128弄）、明泉花园（漕宝路3369弄）、汇宝公寓（吴宝路139弄）、海星公寓（吴宝路160弄）、欣源公寓（吴宝路228弄）、嘉景苑（吴宝路169弄1号-21号）、南国花园（七莘路3198弄）、金球花园（吴中路2727弄）、万科城市花园（七莘路3333弄）、广达新苑（吴宝路580弄）、新龙村、号上村、七韵美地苑（航中路99弄）、万科城花新园（中春路8889弄55支弄、56支弄、120支弄)、吴宝新村（吴宝路27弄）、西郊英园（新龙路558弄）、尚城河滨（吴中路2569弄）、兴隆别墅（吴中路2768弄） |
